input,output,instruction
What prerequisites are needed for taking Object Oriented Programming in Semester 2?,The prerequisite for Object Oriented Programming is Programming Fundamentals which is taken in Semester 1.,
What topics are covered under Data Structures in Semester 3?,The Data Structures course covers fundamental concepts such as arrays linked lists stacks queues trees and graphs.,
What are the key focus areas of the Artificial Intelligence course in Semester 4?,The Artificial Intelligence course focuses on core AI techniques including search algorithms knowledge representation reasoning and AI applications.,
What elective courses are available in the final year of the BS (Artificial Intelligence) program?,Elective courses in the final year include Artificial Neural Networks Computer Vision and other specialized AI electives.,
What is the purpose of the Final Year Project in the BS (Artificial Intelligence) program?,The Final Year Project allows students to apply their AI knowledge and skills to real-world problems demonstrating their ability to conduct research and development in artificial intelligence.,
How many credit hours are dedicated to core courses in the BS (Artificial Intelligence) program?,The program requires a total of 49 credit hours for core courses in computing and AI.,
What is the role of the course 'Machine Learning' in Semester 6?,The 'Machine Learning' course covers algorithms and techniques for building predictive models and systems that can learn from data.,
Which course covers 'Information Security' in Semester 7?,The 'Information Security' course in Semester 7 addresses topics related to protecting information systems and data from threats and vulnerabilities.,
What are the main components of the 'Programming for Artificial Intelligence' course in Semester 3?,The 'Programming for Artificial Intelligence' course includes components such as Python programming data manipulation and AI-specific libraries and tools.,
How does the course 'Design and Analysis of Algorithms' contribute to the BS (Artificial Intelligence) program?,The 'Design and Analysis of Algorithms' course provides students with foundational skills in creating efficient algorithms and understanding their complexities which is crucial for solving AI problems.,
What is the significance of 'General Computing' in the admission test for the MS degree program?,General Computing' assesses the applicant's knowledge and understanding of fundamental computing concepts and their application in solving problems.,
What kind of skills does the 'Technical and Business Writing' course in Semester 8 aim to develop?,The 'Technical and Business Writing' course aims to develop skills in writing clear and effective technical documentation and business communications.,
What are the components covered under 'Programming/Data Structure' in the MS Admission Test?,The 'Programming/Data Structure' component includes topics related to programming languages data structures algorithms and problem-solving techniques.,
How is the academic performance evaluated in the BS (Artificial Intelligence) program?,Academic performance is evaluated based on coursework examinations projects and a final GPA that must be at least 2.00 to graduate.,
What is the mission of the Bachelor of Science (Computer Science) program?,The mission is to provide theoretical and practical knowledge and skills required for a professional career in computing covering core computer science concepts and applications within a code of ethics.,
What are the eligibility criteria for admission to the BS (Computer Science) program?,Eligibility includes at least 60% marks in SSC (Matric) or an equivalent examination at least 50% marks in HSSC or an equivalent examination and passing Mathematics at the HSSC level.,
What career opportunities are available for graduates of the BS (Computer Science) program?,Graduates can pursue careers as Computer Programmers Software Engineers Software Developers Web Developers Game Developers Mobile App Developers Software Quality Engineers and Graphics Designers.,
What is the weight distribution for preparing the merit list for BS (Computer Science) admission?,The merit list is prepared by assigning 10% weight to Matric marks 40% weight to Intermediate marks and 50% weight to the score obtained in the NU Admission Test or NTS.,
What are the core courses in Semester 1 of the BS (Computer Science) program?,Core courses in Semester 1 include Introduction to Information and Communication Technology Programming Fundamentals Applied Physics Calculus and Analytical Geometry Functional English and Ideology and Constitution of Pakistan.,
What is required to complete the BS (Computer Science) degree?,To complete the BS (Computer Science) degree a student must pass courses totaling at least 130 credit hours including all core courses and earn a CGPA of at least 2.00.,
What are the prerequisites for taking the 'Object Oriented Programming' course in Semester 2?,The prerequisite for the 'Object Oriented Programming' course is 'Programming Fundamentals' which is taken in Semester 1.,
What topics are covered in the 'Data Structures' course in Semester 3?,The 'Data Structures' course covers fundamental topics such as arrays linked lists stacks queues trees and graphs.,
What is the focus of the 'Software Engineering' course in Semester 6?,The 'Software Engineering' course focuses on software development processes methodologies design testing and project management.,
How does the 'Final Year Project' contribute to the BS (Computer Science) program?,The 'Final Year Project' allows students to apply their knowledge and skills to real-world problems demonstrating their ability to conduct independent research and development in computing.,
What are the elective courses available in Semester 8?,Elective courses in Semester 8 include CS Elective - IV CS Elective - V CS Elective - VI and Advanced DBMS.,
What components are included in the 'Information Security' course in Semester 7?,The 'Information Security' course includes components related to protecting information systems and data from threats vulnerabilities and attacks.,
What is covered under 'CS Elective - I' in Semester 5?,CS Elective - I' covers specialized topics such as Software Design and Analysis.,
How many credit hours are dedicated to core computing courses in the BS (Computer Science) program?,The BS (Computer Science) program includes 49 credit hours dedicated to core computing courses.,
What is the role of the 'Technical and Business Writing' course in Semester 6?,The 'Technical and Business Writing' course aims to develop skills in creating clear and effective technical documentation and business communications.,
What is the requirement for enrolling in 'Final Year Project - II'?,To enroll in 'Final Year Project - II' a student must have completed 'Final Year Project - I' earned at least 100 credit hours and have a CGPA equal to or greater than 2.00.,
What is the mission of the Bachelor of Science (Cyber Security) program?,The mission is to provide theoretical knowledge and practical skills required for a professional career in computing and cyber security covering core computing with a specialization in cyber security and its applications within a code of ethics.,
What career opportunities are available for graduates of the BS (Cyber Security) program?,Graduates can pursue careers as Cyber Security Specialists Cyber Security Analysts Cybercrime Analysts Cyber Security Consultants IT Auditors Information Security Managers/Administrators Information Assurance Engineers IT Security Consultants Digital Forensics Analysts and Penetration and Vulnerability Testers.,
What are the eligibility criteria for admission to the BS (Cyber Security) program?,Eligibility includes at least 60% marks in SSC (Matric) or an equivalent examination at least 50% marks in HSSC or an equivalent examination and passing Mathematics at the HSSC level.,
What is the weight distribution for preparing the merit list for BS (Cyber Security) admission?,The merit list is prepared by assigning 10% weight to Matric marks 40% weight to Intermediate marks and 50% weight to the score obtained in the NU Admission Test or NTS.,
What are the core courses in Semester 1 of the BS (Cyber Security) program?,Core courses in Semester 1 include Introduction to Information and Communication Technology Functional English Applied Physics Programming Fundamentals Calculus and Analytical Geometry and Ideology and Constitution of Pakistan.,
What is required to complete the BS (Cyber Security) degree?,To complete the BS (Cyber Security) degree a student must pass courses totaling at least 130 credit hours including all core courses and earn a CGPA of at least 2.00.,
What are the prerequisites for taking the 'Object-Oriented Programming' course in Semester 2?,The prerequisite for the 'Object-Oriented Programming' course is 'Programming Fundamentals' which is taken in Semester 1.,
What topics are covered in the 'Cyber Security' course in Semester 3?,The 'Cyber Security' course covers foundational aspects of securing computer systems and networks including principles of cyber security and common threats and defenses.,
What is the focus of the 'Network Security' course in Semester 6?,The 'Network Security' course focuses on techniques and technologies used to protect networked systems from attacks and unauthorized access.,
How does the 'Final Year Project' contribute to the BS (Cyber Security) program?,The 'Final Year Project' allows students to apply their knowledge and skills to real-world problems in cyber security demonstrating their ability to conduct independent research and development.,
What are the elective courses available in Semester 8?,Elective courses in Semester 8 include CY Elective - V CY Elective - VI and Advanced DBMS.,
What components are included in the 'Information Security' course in Semester 7?,The 'Information Security' course includes components related to protecting information systems from threats vulnerabilities and attacks focusing on security protocols and data protection strategies.,
What is covered under 'CY Elective - I' in Semester 5?,CY Elective - I' covers specialized topics in cyber security such as Secure Software Design and Development.,
How many credit hours are dedicated to core cyber security courses in the BS (Cyber Security) program?,The BS (Cyber Security) program includes 49 credit hours dedicated to core cyber security courses.,
What is the role of the 'Technical and Business Writing' course in Semester 6?,The 'Technical and Business Writing' course aims to develop skills in creating clear and effective technical documentation and business communications.,
What is the requirement for enrolling in 'Final Year Project - II'?,To enroll in 'Final Year Project - II' a student must have completed 'Final Year Project - I' earned at least 100 credit hours and have a CGPA equal to or greater than 2.00.,
What is the mission of the Bachelor of Science (Data Science) program?,The mission is to provide theoretical knowledge and practical skills required for a professional career in computing and data science covering core computing with a specialization in data science and its applications within a code of ethics.,
What career opportunities are available for graduates of the BS (Data Science) program?,Graduates can become Data Scientists Business Analysts Big Data Analysts Social Networks Analysts Data Engineers Decision Scientists Data Quality Assurance Experts Business Intelligence Analysts Data Consultants Data Associates Database Developers Software Engineers Machine Learning Engineers etc.,
What are the eligibility criteria for admission to the BS (Data Science) program?,Eligibility includes at least 60% marks in SSC (Matric) or an equivalent examination at least 50% marks in HSSC or an equivalent examination and passing Mathematics at the HSSC level.,
What is the weight distribution for preparing the merit list for BS (Data Science) admission?,The merit list is prepared by assigning 10% weight to Matric marks 40% weight to Intermediate marks and 50% weight to the score obtained in the NU Admission Test or NTS.,
What are the core courses in Semester 1 of the BS (Data Science) program?,Core courses in Semester 1 include Introduction to Information and Communication Technology Programming Fundamentals Applied Physics Calculus and Analytical Geometry Functional English and Ideology and Constitution of Pakistan.,
What is required to complete the BS (Data Science) degree?,To complete the BS (Data Science) degree a student must pass courses totaling at least 130 credit hours including all core courses and earn a CGPA of at least 2.00.,
What are the prerequisites for taking the 'Object-Oriented Programming' course in Semester 2?,The prerequisite for the 'Object-Oriented Programming' course is 'Programming Fundamentals' which is taken in Semester 1.,
What topics are covered in the 'Introduction to Data Science' course in Semester 3?,The 'Introduction to Data Science' course covers fundamental concepts of data science including data collection data cleaning data analysis and introductory techniques in data visualization.,
What is the focus of the 'Data Warehousing and Business Intelligence' course in Semester 6?,The 'Data Warehousing and Business Intelligence' course focuses on techniques for data warehousing business intelligence and strategies for managing and analyzing large datasets to support decision-making.,
What is the role of the 'Final Year Project' in the BS (Data Science) program?,The 'Final Year Project' allows students to apply their knowledge and skills to real-world data science problems demonstrating their ability to conduct research analyze data and present solutions.,
What elective courses are available in Semester 8?,Elective courses in Semester 8 include DS Elective - V DS Elective - IV and other options that focus on specialized topics in data science.,
What is covered under 'Data Mining' in Semester 7?,Data Mining' covers techniques for discovering patterns trends and relationships within large datasets including methods for clustering classification and association rule mining.,
How many credit hours are dedicated to core data science courses in the BS (Data Science) program?,The BS (Data Science) program includes 49 credit hours dedicated to core data science courses.,
What is the requirement for enrolling in 'Final Year Project - II'?,To enroll in 'Final Year Project - II' a student must have completed 'Final Year Project - I' earned at least 100 credit hours and have a CGPA equal to or greater than 2.00.,
What is the purpose of the 'Technical and Business Writing' course in Semester 6?,The 'Technical and Business Writing' course aims to develop skills in creating clear and effective technical documentation and business communications related to data science projects.,
How does the 'Artificial Intelligence' course in Semester 7 relate to data science?,The 'Artificial Intelligence' course explores AI concepts and techniques that are applicable to data science including machine learning algorithms and their implementation in data analysis and decision-making.,
What is the mission of the Bachelor of Science (Software Engineering) program?,The mission is to produce competent technically sound and socially responsible software engineering professionals and researchers capable of addressing contemporary and future software engineering challenges and developing innovative solutions through impactful research.,
What career opportunities are available for graduates of the BS (Software Engineering) program?,Graduates can become Software Quality Assurance Engineers Systems Programmers Embedded Software Engineers Software Architects Chief Technology Officers Chief Information Officers User Interface Designers Information Systems Managers Computer Graphic Designers etc.,
What are the eligibility criteria for admission to the BS (Software Engineering) program?,Pre-medical students who have passed additional math or are awaiting results are eligible for admission in all computing programs.,
What is the weight distribution for preparing the merit list for BS (Software Engineering) admission?,The merit list is prepared by assigning 10% weight to Matric marks 40% weight to Intermediate marks and 50% weight to the score obtained in the NU Admission Test or NTS.,
What are the core courses in Semester 1 of the BS (Software Engineering) program?,Core courses in Semester 1 include Introduction to Information and Communication Technology Programming Fundamentals Applied Physics Calculus and Analytical Geometry Functional English and Ideology and Constitution of Pakistan.,
What is required to complete the BS (Software Engineering) degree?,To complete the BS (Software Engineering) degree a student must pass courses totaling at least 130 credit hours including all core courses and earn a CGPA of at least 2.00.,
What are the prerequisites for taking the 'Object-Oriented Programming' course in Semester 2?,The prerequisite for 'Object-Oriented Programming' is 'Programming Fundamentals' which is taken in Semester 1.,
What topics are covered in the 'Introduction to Software Engineering' course in Semester 2?,The 'Introduction to Software Engineering' course covers fundamental concepts of software engineering including software development life cycles methodologies and basic principles of project management.,
What is the focus of the 'Software Design and Architecture' course in Semester 4?,The 'Software Design and Architecture' course focuses on principles and practices of designing robust software systems including software architectural patterns design principles and methodologies for effective software design.,
What is the role of the 'Final Year Project' in the BS (Software Engineering) program?,The 'Final Year Project' allows students to apply their knowledge and skills to real-world software engineering problems demonstrating their ability to conduct research design and implement solutions and present their work effectively.,
What elective courses are available in Semester 8?,Elective courses in Semester 8 include SE Elective - V and SE Elective - VI which focus on specialized topics in software engineering.,
What is covered under 'Software Quality Engineering' in Semester 7?,Software Quality Engineering' covers techniques and methodologies for ensuring the quality of software products including software testing quality assurance processes and standards for maintaining software reliability and performance.,
How many credit hours are dedicated to core software engineering courses in the BS (Software Engineering) program?,The BS (Software Engineering) program includes 49 credit hours dedicated to core software engineering courses.,
What is the requirement for enrolling in 'Final Year Project - II'?,To enroll in 'Final Year Project - II' a student must have completed 'Final Year Project - I' earned at least 100 credit hours and have a CGPA equal to or greater than 2.00.,
What is the purpose of the 'Technical and Business Writing' course in Semester 7?,The 'Technical and Business Writing' course aims to develop skills in creating clear and effective technical documentation and business communications related to software engineering projects.,
How does the 'Artificial Intelligence' course in Semester 7 relate to software engineering?,The 'Artificial Intelligence' course explores AI concepts and techniques that can be applied in software engineering including machine learning algorithms and their integration into software systems.,
What is the mission of the Master of Science (Artificial Intelligence) program?,The mission is to produce competent and well-rounded professionals capable of applying Artificial Intelligence and Data Science to solve real-life problems.,
What are the objectives of the MS (Artificial Intelligence) program?,The program comprises both coursework and research components aiming to strengthen understanding of AI fundamentals prepare graduates for careers in AI in academia or industry and support doctoral studies in the domain.,
What are the expected program learning outcomes for graduates of the MS (Artificial Intelligence) program?,Graduates are expected to create autonomous systems for real-world problems apply AI tools and techniques impactfully pursue doctoral studies take leadership roles in AI and make effective presentations on technical topics.,
What is the selection criteria for admission to the MS (Artificial Intelligence) program?,Selection is based on past academic record (Bachelor) 50% and score obtained in NU Admission Test/NTS-GAT (General) 50%. Students may be required to study up to four deficiency courses.,
What are the core courses in Semester 1 of the MS (Artificial Intelligence) program?,Core courses include Advanced Artificial Intelligence Mathematical Foundations of AI and a General Elective (Computing/MG).,
What is the focus of the 'Advanced Machine Learning' course in Semester 2?,The 'Advanced Machine Learning' course focuses on advanced techniques and methodologies in machine learning including deep learning reinforcement learning and model optimization.,
What are the requirements for registering in 'MS Thesis/Project-I'?,To register in 'MS Thesis/Project-I' a student must have earned at least 15 credits passed the 'Research Methodology' course and have a CGPA of 2.5 or more.,
What is the requirement for awarding the MS degree in Artificial Intelligence?,To be awarded the MS degree a student must pass courses totaling at least 30 credit hours including core courses and earn a CGPA of 2.50 or more.,
What elective courses are available in Semester 3 and 4?,Elective courses in Semester 3 and 4 include Computing Elective-I Computing Elective-II and additional electives as needed. The exact electives are determined based on the student's interest and availability.,
What is the role of the 'Applied Programming' course in the MS (Artificial Intelligence) program?,The 'Applied Programming' course is a non-credit course that may be exempted based on performance in the admission test provided the student has studied 'Object Oriented Programming' and 'Data Structures' at the undergraduate level.,
What are the components of the research requirement in the MS (Artificial Intelligence) program?,The research component includes 'MS Thesis-I' and 'MS Thesis-II' or 'MS Project-I' and 'MS Project-II' where students engage in substantial research or project work relevant to their field of study.,
What is covered in the 'Research Methodology' course?,The 'Research Methodology' course covers fundamental research techniques methods for conducting research in AI and approaches for writing research proposals and reports.,
What are the prerequisites for the 'Mathematical Foundations of AI' course?,There are no specific prerequisites listed but students are expected to have a strong background in mathematics relevant to AI including calculus and linear algebra.,
What is the mission of the MS (Computer Networks and Security) program?,The mission is to produce future thinkers leaders and innovators to shape the future of the nation and humanity through high-quality education research and technopreneurship.,
What are the objectives of the MS (Computer Networks and Security) program?,The program prepares students to meet challenges posed by a highly interconnected world covering mobile computing sensor networks and emerging technologies while providing understanding and exposure to the latest trends and technologies in the field.,
What are the expected learning outcomes for graduates of the MS (Computer Networks and Security) program?,Graduates are expected to contribute to making cyberspace safe and secure understand and address current threats and vulnerabilities protect national information infrastructure handle data securely and make effective presentations on technical topics.,
What is the selection criteria for admission to the MS (Computer Networks and Security) program?,Selection is based on past academic record (Bachelor) 50% and score obtained in NU Admission Test/NTS-GAT (General) 50%.,
What are the core courses in Semester 1 of the MS (Computer Networks and Security) program?,Core courses include Applied Programming (NC) Core Course-I Core Course-II and a General Elective (Computing/MG).,
What is covered in the 'Applied Programming' course?,The 'Applied Programming' course is a non-credit course that may be exempted based on performance in the admission test. It ensures students have the requisite programming skills specifically in 'Object Oriented Programming' and 'Data Structures' at the undergraduate level.,
What are the core courses available in the MS (Computer Networks and Security) program?,Core courses include Network & Cyber Security Advanced Operating Systems Applied Information Security Performance of Computer Networks Advanced Computer Networks Routing & Switching and Network Management.,
What are the requirements for registering in 'MS Thesis/Project-I'?,To register in 'MS Thesis/Project-I' a student must have earned at least 15 credits passed the 'Research Methodology' course and have a CGPA of 2.5 or more.,
What is required for the award of the MS degree in Computer Networks and Security?,To be awarded the MS degree a student must pass courses totaling at least 30 credit hours including core courses and earn a CGPA of 2.50 or more.,
What is covered in the 'Research Methodology' course?,The 'Research Methodology' course covers essential research techniques and methods for conducting research in the field of computer networks and security including how to write research proposals and reports.,
What electives are available in the program?,Electives include Computing Elective-I Computing Elective-II and additional electives as needed based on student interest and availability.,
What is the role of the 'MS Thesis/Project' component in the program?,The 'MS Thesis/Project' component involves substantial research or project work relevant to computer networks and security allowing students to apply their knowledge to real-world problems.,
What is the mission of the MS (Computer Science) program?,The mission is to tailor coursework according to international standards to nurture capacity building and original thinking in postgraduates for lifelong learning aiming to produce graduates highly sought after by national and international IT organizations and capable of pursuing further studies.,
What are the objectives of the MS (Computer Science) program?,1. To produce computer scientists who fulfill the industry's software needs. 2. To address the lack of computer science and technology education locally and beyond. 3. To provide a broad understanding of computer science by introducing innovative concepts theories and techniques. 4. To enhance communication skills and enable the production of well-organized reports. 5. To provide formal foundations for further education. 6. To develop highly skilled researchers and scholars in computer science.,
What are the expected learning outcomes for graduates of the MS (Computer Science) program?,1. Possess advanced knowledge of the Computer Science field. 2. Think creatively and critically to solve non-trivial problems. 3. Use computing knowledge to develop efficient solutions for real-life problems. 4. Design solutions and conduct research-related activities. 5. Make effective oral and written presentations on technical topics.,
What is the selection criteria for admission to the MS (Computer Science) program?,Selection is based on past academic record (Bachelor) 50% and score obtained in NU Admission Test/NTS-GAT (General) 50%.,
What are the recommended core courses before entering the MS (Computer Science) program?,1. Computer Programming 2. Data Structures 3. Operating Systems 4. Database Systems 5. Design and Analysis of Algorithms 6. Computer Networks 7. Theory of Automata 8. Software Engineering.,
What is the role of the 'Applied Programming' course in the MS (Computer Science) program?,The 'Applied Programming' course is a non-credit course that may be exempted based on performance in the admission test. It ensures that students have studied 'Object Oriented Programming' and 'Data Structures' at the undergraduate level.,
What are the core courses in Semester 1 of the MS (Computer Science) program?,Core courses include Applied Programming (NC) Core Course-I Core Course-II and Core Course-III.,
What electives are available in the MS (Computer Science) program?,Electives include Computing Elective-I Computing Elective-II Computing Elective-III and Computing Elective-IV.,
What is the requirement for registering in 'MS Thesis/Project-I'?,To register in 'MS Thesis/Project-I' a student must have earned at least 15 credits passed the 'Research Methodology' course and have a CGPA of 2.5 or more.,
What are the core courses for the MS (Computer Science) program?,Core courses include Advanced Analysis of Algorithms Advanced Operating Systems Advanced Theory of Computation and Theory of Programming Languages.,
What is required for the award of the MS degree in Computer Science?,To be awarded the MS degree a student must pass courses totaling at least 30 credit hours including core courses and earn a CGPA of 2.50 or more.,
What is the mission of the MS (Data Science) program?,The mission is to tailor coursework according to international standards to nurture capacity building and original thinking in postgraduates for lifelong learning aiming to produce graduates highly sought after by national and international organizations and capable of pursuing further studies.,
What are the objectives of the MS (Data Science) program?,1. To produce computer scientists who fulfill the requirements of the national and international market of data science products. 2. To equip students to transform data into actionable insights for complex business decisions. 3. To apply computational statistical and machine learning techniques to process large and complex data sets. 4. To conceive and execute data science projects.,
What are the learning outcomes of the MS (Data Science) program?,1. Transform data into actionable insights for complex business decisions. 2. Understand and analyze problems to arrive at computable solutions. 3. Use technologies that match these solutions. 4. Gain hands-on experience with data-centric tools for statistical analysis visualization and big data applications. 5. Understand data security and business ethics. 6. Make effective oral and written presentations on technical topics.,
What is the selection criteria for admission to the MS (Data Science) program?,Selection is based on past academic record (Bachelor) 50% and score obtained in NU Admission Test/NTS-GAT (General) 50%. Prerequisites include Object Oriented Programming Data Structures and Algorithms and Database Systems. Students with deficiencies must complete them in the first two semesters.,
What is the role of the 'Applied Programming' course in the MS (Data Science) program?,The 'Applied Programming' course is a non-credit course that may be exempted based on performance in the admission test. It ensures that students have studied 'Object Oriented Programming' and 'Data Structures' at the undergraduate level.,
What are the core courses in Semester 1 of the MS (Data Science) program?,Core courses include Applied Programming (NC) Data Science Tools & Techniques Statistical & Mathematical Methods for Data Science and a Specialized Core Course-I.,
What electives are available in the MS (Data Science) program?,Electives include Computing Elective-I and Computing Elective-II.,
What is required for registering in 'MS Thesis/Project-I'?,To register in 'MS Thesis/Project-I' a student must have earned at least 15 credits passed the 'Research Methodology' course and have a CGPA of 2.5 or more.,
What are the specialized core courses for the MS (Data Science) program?,Specialized Core Courses include Advanced Big Data Analytics Distributed Data Processing Deep Learning and Natural Language Processing.,
What is required for the award of the MS degree in Data Science?,To be awarded the MS degree a student must pass courses totaling at least 30 credit hours including core courses and earn a CGPA of 2.50 or more.,
What is the mission of the MS (Software Engineering) program?,The mission is to produce future software designers and innovators through high-quality education research and technopreneurship. It aims to provide state-of-the-art knowledge and practical skills to meet current industrial requirements and adapt to future technology developments.,
What are the objectives of the MS (Software Engineering) program?,1. To critically apply concepts theories and practices to solve complex computing problems. 2. To communicate ideas effectively in written and electronic forms and work collaboratively in teams. 3. To provide a theoretical background and applied research training in software engineering for those aiming for doctoral studies. 4. To prepare students for dynamic careers in computing-related fields. 5. To define plan implement and test medium-sized software projects using appropriate methods and techniques. 6. To address current and emerging industrial needs with modern trends for building complex software systems.,
What are the learning outcomes of the MS (Software Engineering) program?,1. Design systems to meet desired needs within realistic constraints. 2. Understand the impact of engineering solutions in various contexts. 3. Use techniques skills and tools for developing resilient software. 4. Apply current theories models and techniques in the software lifecycle. 5. Communicate effectively with different audiences. 6. Contribute to research and development in areas such as healthcare and education.,
What is the selection criteria for admission to the MS (Software Engineering) program?,Admission is based on past academic record (Bachelor) 50% and score obtained in NU Admission Test/NTS-GAT (General) 50%. Recommended prerequisite courses include Object Oriented Programming Data Structures Software Engineering Software Design and Analysis and Software Quality Engineering.,
What is the role of the 'Applied Programming' course in the MS (Software Engineering) program?,The 'Applied Programming' course is a non-credit course that may be exempted based on performance in the admission test. It ensures students have studied 'Object Oriented Programming' and 'Data Structures' at the undergraduate level.,
What are the core courses in Semester 1 of the MS (Software Engineering) program?,Core courses include Applied Programming (NC) Advanced Software Requirements Engineering Advanced Quality Assurance and a Computing Elective-I.,
What electives are available in the MS (Software Engineering) program?,Electives include Computing Elective-I Computing Elective-II Computing Elective-III and Computing Elective-IV.,
What is required for registering in 'MS Thesis/Project-I'?,To register in 'MS Thesis/Project-I' a student must have earned at least 15 credits passed the 'Research Methodology' course and have a CGPA of 2.5 or more.,
What are the core courses for the MS (Software Engineering) program?,Core courses include Advanced Software Requirements Engineering Advanced Quality Assurance Advanced Software Architecture and a selection of electives.,
What is required for the award of the MS degree in Software Engineering?,To be awarded the MS degree a student must pass courses totaling at least 30 credit hours including core courses and earn a CGPA of 2.50 or more.,
What is the mission of the MS (Software Project Management) program?,The mission is to develop students' skills necessary to manage software projects by integrating theoretical and practical aspects preparing them for leadership positions in the software industry and enabling them to become agents of change and improvement.,
What are the objectives of the MS (Software Project Management) program?,1. To assess and manage risks by developing strategies to handle them. 2. To gather and manage requirements and coordinate effectively with stakeholders. 3. To identify document and analyze change management and agree on changes to scope. 4. To manage configuration for large-scale software. 5. To identify prioritize and agree on software releases preparing release schedules estimating costs and resource requirements. 6. To resolve conflicts that arise during project management. 7. To instill ethics responsibilities and leadership.,
What are the learning outcomes of the MS (Software Project Management) program?,1. Expertise in managing large-scale projects or conducting related research. 2. Demonstration of analytical and communication skills resource forecasting and quality implementation. 3. Understanding and implementing industry standards calculating project and process metrics. 4. Effective organizational leadership skills concerning project teams and stakeholders.,
What is the selection criteria for admission to the MS (Software Project Management) program?,Admission is based on past academic record (Bachelor) 50% and score obtained in NU Admission Test/NTS-GAT (General) 50%.,
What is included in Semester 1 of the MS (Software Project Management) program?,Semester 1 includes Research Methodology Software Project Management and Management & Organizational Behavior totaling 9 credits.,
What courses are in Semester 2 of the MS (Software Project Management) program?,Semester 2 includes Software Quality Assurance Software Process Management & Metrics and Requirements Engineering totaling 9 credits.,
What is required for registration in 'MS Thesis/Project-I/Practicum-I'?,To register in 'MS Thesis/Project-I/Practicum-I' a student must have earned at least 15 credits passed the 'Research Methodology' course and have a CGPA of 2.5 or more.,
What electives are available in the MS (Software Project Management) program?,Electives include a Computing Elective and a General Elective (Computing/MG).,
What is required for the award of the MS degree in Software Project Management?,To be awarded the MS degree a student must pass courses totaling at least 30 credit hours including core courses and earn a CGPA of 2.50 or more.,
What is the vision of the Civil Engineering program?,To achieve national and international recognition through innovation in civil engineering education research and community services.,
What is the mission of the Civil Engineering program?,To develop highly competent graduates with sound engineering knowledge social responsibility and lifelong learning skills enabling them for successful careers in the civil engineering profession.,
How does the Civil Engineering program achieve its mission?,The program achieves its mission by: 1. Providing a vibrant teaching and learning environment to deliver high-quality engineering education. 2. Maintaining a state-of-the-art curriculum that emphasizes practical applications and provides opportunities for hands-on experience. 3. Developing an attitude for lifelong learning and instilling ethical and social values in graduates to help them acquire professional leadership. 4. Identifying contemporary issues in the civil engineering profession and developing innovative solutions through research.,
What are the Program Educational Objectives (PEOs) of the Civil Engineering program?,The objectives are to produce graduates who will: 1. Have sound engineering knowledge and practical skills. 2. Demonstrate social responsibility and leadership. 3. Engage in lifelong learning and professional development. 4. Address contemporary issues in civil engineering through innovative solutions and research.,
What are the career opportunities for graduates of the Civil Engineering program?,Graduates can work in the construction industry as well as in relevant business management and finance sectors. They will have the skills to design create and build sustainable civil infrastructures to serve society.,
What is the selection criteria for admission into the Civil Engineering program?,Admission is based on one of the following: 1. NTS-NAT: Selection is based on marks obtained. 2. SAT: A score of 1200 or more for students residing abroad. 3. NU Admission Test: Merit List is prepared with 17% weight for Matric marks 50% for Intermediate marks and 33% for the NU Admission Test score.,
What are the requirements for earning the BS Civil Engineering degree?,A student must have earned at least 138 credits through core and elective courses and must maintain a minimum CGPA of 2.00.,
What does the tentative study plan include for the Bachelor of Science (Civil Engineering)?,The study plan includes courses such as Engineering Drawing Civil Engineering Materials Fluid Mechanics Structural Analysis and a Final Year Project. Students also take electives and courses in engineering economics ethics and technical communication. The plan covers a total of 138 credits.,
What is the mission of the School of Electrical Engineering?,The mission is to develop a nurturing environment for delivering quality engineering education through discovery and innovation emphasize practical applications with state-of-the-art curriculum and instill ethical and social values while acting as a center of excellence to address national industry problems.,
What are the Program Educational Objectives (PEOs) for the Electrical Engineering program?,PEO-1: Versatility in practicing electrical engineering across various industries. PEO-2: Pursue advances in engineering education. PEO-3: Conduct themselves responsibly professionally and ethically. PEO-4: Employ creative problem-solving skills for complex engineering problems. PEO-5: Emerge as team leaders and contribute to service and economic development.,
What career opportunities are available for graduates of the Electrical Engineering program?,Graduates can pursue careers in telecom electronics power sector embedded system design and software programming.,
What is the selection criteria for admission into the Electrical Engineering program?,Admission is based on: 1. NTS-NAT: Selection based on marks obtained. 2. SAT: A score of 1200 or more for students residing abroad. 3. NU Admission Test: Merit List based on 17% Matric marks 50% Intermediate marks and 33% NU Admission Test score.,
What are the requirements for earning the BS Electrical Engineering degree?,A student must have passed courses totaling at least 138 credit hours including all core courses and obtained a minimum CGPA of 2.00.,
What does the tentative study plan include for the Bachelor of Science (Electrical Engineering)?,The study plan includes courses such as Programming Fundamentals Linear Circuit Analysis Electronic Devices & Circuits Signals and Systems and a Final Year Project. Students also take electives in areas like Data Communication Power Electronics and Embedded Systems. The plan covers a total of 138 credits.,
What are the objectives of the Master of Science (Civil Engineering) program?,The objectives are to enrich civil engineers with advanced knowledge and skills to solve complex problems conduct applied research for infrastructure challenges and pursue lifelong learning and professional development.,
What is the selection criteria for admission into the MS Civil Engineering program?,Admission is based on: 1. Past Academic Record (Bachelor) - 50%. 2. Score obtained in NU Admission Test/NTS-GAT (General) - 50%.,
